"dataset_id";"observacao_id";"camada_id";"amostra_id";"camada_nome";"profund_sup";"profund_inf";"terrafina";"argila";"silte";"areia";"carbono";"ctc";"ph";"dsi";"ce"
"ctb0001";"CC-B5-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-B6-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-B6-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-B6-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-B6-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-B7-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-B7-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-B7-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-B7-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C1-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C1-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C1-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C1-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C2-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C2-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C2-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C2-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C3-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C3-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C3-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C3-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C4-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C4-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C4-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C4-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C5-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C5-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C5-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C5-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C6-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C6-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C6-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C6-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C7-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C7-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C7-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-C7-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D1-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D1-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D1-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D1-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D2-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D2-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D2-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D2-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D3-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D3-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D3-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-D3-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
